long_bias,days,offset,final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor
5,7,4,-7954.999999942214,-100.53033333332948,0.0,114.48727482032844,-0.2857647796904915,3019,32.72606823451474,0.9532560624737679
5,6,4,-208987.49999996164,-113.93249999999743,0.0,139.86548763383087,0.5517156386355837,3565,30.883590462833098,0.9654525559725019
5,5,4,-194517.49999998647,-112.96783333333242,0.0,114.13585338525485,0.2850184322618591,3504,30.850456621004568,0.9657406074853181
5,10,3,-413219.99999997957,-127.54799999999864,0.0,104.9609237556843,0.4450909226486793,3186,31.07344632768362,0.9389868615138237
5,9,3,-258329.99999991633,-117.22199999999444,0.0,104.2797123888559,0.23603442347025436,3147,31.966952653320625,0.9550329491312101
5,7,3,-9874.999999901025,-100.65833333332674,0.0,105.60085313078551,-0.03022259288121897,3044,32.78580814717477,0.9651207618911799
5,5,3,-46095.00000003803,-103.07300000000252,0.0,101.8887047544558,0.10983945334221873,3132,32.72669220945083,0.982157882312055
5,4,3,-75487.49999991735,-105.03249999999449,0.0,103.44856260836926,0.19753141540858746,3330,30.96096096096096,0.9698412465432132
4,7,5,-87342.49999997974,-105.82283333333197,0.0,126.47108370087071,0.3581921450875507,3193,31.75696836830567,0.948414295149348
4,6,5,-32719.9999999476,-102.18133333332983,0.0,124.18986195761154,0.04535668618408307,3372,31.820877817319097,0.959930562366924
4,10,4,-1163360.0000000095,-177.55733333333396,0.0,120.97260428898463,0.296435959341605,3541,30.866986726913304,0.8953248396253917
4,9,4,-63337.49999995424,-104.22249999999693,0.0,116.30010248464693,0.1879680630875149,2801,33.38093538022135,0.9383000278491637
4,7,4,-115994.99999998162,-107.73299999999877,0.0,116.74645329954323,-0.011270450956061648,3259,31.297944154648665,0.9418656985347302
4,6,4,-175317.49999999176,-111.68783333333279,0.0,146.52172450304394,0.4869279024890122,3606,30.782029950083196,0.9627472353867786
4,5,4,-86354.99999994603,-105.7569999999964,0.0,115.57390681855759,-0.09868004932210689,3419,31.032465633226092,0.9584993126518498
2,8,4,-17595.000000006472,-101.17300000000043,0.0,121.63764981778161,0.17852636530205748,3078,31.643924626380766,0.8633894362912337
3,4,3,-26712.499999989363,-101.78083333333261,0.0,102.74179228537841,0.2970018722353456,3216,31.405472636815922,0.9511568184678388
2,6,4,-65644.99999998548,-104.37633333333235,0.0,149.7146542778445,0.45218799084806943,3381,30.22774327122153,0.9113491158022232
1,4,3,-22112.499999998414,-101.47416666666655,0.0,102.97014552035661,-0.28771484359170146,3039,30.733794011187893,0.8875686584269598
1,10,3,-14109.999999995718,-100.94066666666639,0.0,105.04232164449792,-0.3045394486590151,2714,29.771554900515845,0.7393994365350154
1,9,3,-57980.00000000026,-103.86533333333334,0.0,104.03014554470704,0.30247293795765284,2621,31.28576879053796,0.7722855221093171
1,8,3,-69484.99999999408,-104.63233333333295,0.0,107.95182616493769,-0.2196695349891841,2799,30.010718113612008,0.7663841219962665
