date,equity,equity_no_filter,position,vix,vix_filter,peak,drawdown,peak_no_filter,drawdown_no_filter
2016-12-02 14:45:00,1641327.5000000102,1333657.5000000063,64.0,14.11999989,True,2611005.000000003,37.13809433532266,2917465.0000000005,54.28711227041263
2016-12-05 14:45:00,1680407.5000000102,1365402.5000000063,56.0,12.14000034,True,2611005.000000003,35.641352659224765,2917465.0000000005,53.199010099521125
2016-12-06 14:45:00,1702077.5000000098,1382810.000000006,58.0,11.78999996,True,2611005.000000003,34.811404037908474,2917465.0000000005,52.60234484389681
2016-12-07 14:45:00,1784607.500000011,1449680.000000006,66.0,12.22000027,True,2611005.000000003,31.650552182013858,2917465.0000000005,50.31028649872387
2016-12-08 14:45:00,1803507.500000011,1465145.000000006,61.0,12.64000034,True,2611005.000000003,30.926692978373882,2917465.0000000005,49.78020301871639
2016-12-09 14:45:00,1830060.000000011,1486930.0000000065,70.0,11.75,True,2611005.000000003,29.909747396117243,2917465.0000000005,49.033493118169154
2016-12-12 14:45:00,1819560.000000011,1478515.0000000065,70.0,12.64000034,True,2611005.000000003,30.31189139813945,2917465.0000000005,49.321928455011246
2016-12-13 14:45:00,1872905.0000000107,1521947.5000000065,68.0,12.72000027,True,2611005.000000003,28.26880837072282,2917465.0000000005,47.83322164961683
2016-12-14 14:45:00,1812555.0000000107,1473135.0000000065,68.0,13.18999958,True,2611005.000000003,30.58017889663142,2917465.0000000005,49.50633512312894
2016-12-15 14:45:00,1841275.000000012,1496360.0000000054,80.0,12.78999996,True,2611005.000000003,29.480219302528717,2917465.0000000005,48.710267303977766
2016-12-16 14:45:00,1828125.000000012,1485677.5000000054,70.0,12.19999981,True,2611005.000000003,29.983856790775576,2917465.0000000005,49.07642422445496
2016-12-19 14:45:00,1843710.000000012,1498367.5000000054,59.0,11.71000004,True,2611005.000000003,29.386960193488328,2917465.0000000005,48.64145756675727
2016-12-20 14:45:00,1868755.000000012,1518737.5000000054,57.0,11.44999981,True,2611005.000000003,28.427751000093448,2917465.0000000005,47.94324867650494
