final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,levamount,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days
62758925.000000134,4083.928333333342,27.2791340085641,66.43575490529923,0.7293898776600138,3855,35.40856031128405,1.4062983039091967,18,2,5,9,1,5
62758925.000000134,4083.928333333342,27.2791340085641,66.43575490529923,0.7293898776600138,3855,35.40856031128405,1.4062983039091967,15,2,5,9,1,5
62758925.000000134,4083.928333333342,27.2791340085641,66.43575490529923,0.7293898776600138,3855,35.40856031128405,1.4062983039091967,20,2,5,9,1,5
62082040.0000002,4038.80266666668,27.190000389525416,65.41367224903203,0.7292417410916695,3851,36.12048818488704,1.3981147022422382,12,2,4,9,1,5
61680664.999999896,4012.0443333333264,27.136716190348743,61.20273407434317,0.7599824563373355,3841,36.00624837281958,1.4620226384822137,5,2,4,10,1,5
61668107.49999973,4011.207166666649,27.135043903007585,66.467613147394,0.7279601852037888,3856,35.45124481327801,1.4098095699715991,12,2,5,9,1,5
60666597.50000004,3944.439833333336,27.00063583689247,65.186748576227,0.7342895576724545,3830,36.21409921671018,1.4664627882186354,8,2,3,9,1,5
60553384.99999995,3936.89233333333,26.9853117574413,65.2437348347713,0.728940369675942,3830,36.26631853785901,1.4425354587900647,10,2,3,9,1,5
59599117.50000019,3873.2745000000127,26.855069614206784,61.09311766002381,0.755345743468185,3826,36.853110297961315,1.4869356542867076,5,2,3,10,1,5
58781955.00000025,3818.797000000017,26.741980281594202,65.2656777270624,0.7216032458036266,3827,36.26861771622681,1.4088266351205099,18,2,3,9,1,5
58781955.00000025,3818.797000000017,26.741980281594202,65.2656777270624,0.7216032458036266,3827,36.26861771622681,1.4088266351205099,20,2,3,9,1,5
58781955.00000025,3818.797000000017,26.741980281594202,65.2656777270624,0.7216032458036266,3827,36.26861771622681,1.4088266351205099,15,2,3,9,1,5
57961495.00000005,3764.09966666667,26.626945340038176,65.06367752002984,0.7230339345654844,3848,36.14864864864865,1.4039572467941501,10,2,4,10,1,5
57883022.49999994,3758.8681666666625,26.61586320066267,64.99008893101038,0.7278550488900464,3847,36.13205094879127,1.4242703744222511,8,2,4,10,1,5
57794239.99999996,3752.9493333333307,26.60330809268203,65.27426831541665,0.7202328695659586,3828,36.28526645768025,1.41238692471309,12,2,3,9,1,5
56140474.999999814,3642.698333333321,26.36608307177555,65.06575906550702,0.7155321641416512,3846,36.193447737909516,1.3728056234343347,20,2,4,10,1,5
56140474.999999814,3642.698333333321,26.36608307177555,65.06575906550702,0.7155321641416512,3846,36.193447737909516,1.3728056234343347,15,2,4,10,1,5
56140474.999999814,3642.698333333321,26.36608307177555,65.06575906550702,0.7155321641416512,3846,36.193447737909516,1.3728056234343347,18,2,4,10,1,5
55530212.49999997,3602.0141666666646,26.27688952406171,64.91403153368442,0.7225406115839365,3833,36.942342812418474,1.4428130975102986,8,2,3,10,1,5
55493465.0,3599.5643333333333,26.27148943145532,64.97411133252258,0.7175252163038133,3834,37.01095461658842,1.4206113113860628,10,2,3,10,1,5
55313182.49999954,3587.545499999969,26.244948130376102,65.06432568808582,0.7143669521004987,3844,36.18626430801249,1.3770236240015632,12,2,4,10,1,5
53966277.50000001,3497.7518333333337,26.044055934815624,64.95431924889986,0.7105315057034005,3834,37.01095461658842,1.3884069242226622,20,2,3,10,1,5
