final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,low_vol_bias,high_vol_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
4697617.500000018,213.1745000000012,7.65362999401773,89.95033669536882,0.5237934929592978,3876,36.326109391124874,1.0265194658963745,3,1,4,6,1,2,2791,1208
4682747.500000001,212.18316666666675,7.631582958039407,81.57307093157038,0.4585843264663335,3866,34.86808070356958,1.065133688847111,4,0,4,5,2,3,2791,1208
4664804.9999999935,210.98699999999954,7.604893124651513,76.26666517554948,0.41214166262152635,3818,35.5945521215296,1.0746536570537246,5,0,5,9,2,7,2791,1208
4663612.49999999,210.90749999999932,7.603115855260634,89.96675841167226,0.5224074533430411,3831,37.9796397807361,1.0292978549979497,3,1,3,9,1,2,2791,1208
4647170.00000003,209.8113333333353,7.578566966685241,75.71645237914761,0.4147722574306188,3903,32.8721496284909,1.066489815855585,4,1,4,5,2,6,2791,1208
4624195.000000023,208.27966666666825,7.544128534334638,76.39296896497856,0.4238722271152228,3672,36.410675381263616,1.1002268809335962,2,0,4,9,2,3,2791,1208
4618067.499999995,207.87116666666634,7.5349166685755975,90.02443879607166,0.4317696029221741,3764,36.26461211477152,1.071214287086663,4,0,3,8,2,4,2791,1208
4613927.500000009,207.5951666666673,7.528686265512463,84.74663003229954,0.4789203298281013,3848,36.564449064449065,1.0644722862745213,5,0,3,5,2,3,2791,1208
4606034.999999975,207.0689999999983,7.516794118275394,90.7109751435018,0.4348155568222162,3880,33.68556701030928,1.0686538833644457,4,0,5,6,2,4,2791,1208
4601622.500000023,206.7748333333349,7.510137205463252,74.98937627186811,0.4100958020853577,3787,35.806707156060206,1.071843669285521,5,0,4,9,2,7,2791,1208
4599182.499999976,206.61216666666508,7.506453538169078,90.26722025197745,0.4544359565201598,3803,35.840126216145144,1.0572424312988382,5,0,4,7,2,4,2791,1208
4597457.499999995,206.49716666666635,7.503848202992169,80.64012927162842,0.4560492640865492,3837,36.356528537920255,1.0706243088788967,4,0,3,5,2,3,2791,1208
4565249.99999998,204.3499999999987,7.455035282981148,84.2764414734905,0.4331380293412694,3891,34.7982523772809,1.063315597437771,5,1,3,5,2,6,2791,1208
4554815.000000018,203.65433333333448,7.43915113985274,89.78379012884409,0.4306764878964775,3736,36.402569593147746,1.067415732755686,4,0,4,10,2,4,2791,1208
4553544.999999974,203.56966666666492,7.437215624568672,91.33687975706577,0.45302256159679133,3746,35.66470902295782,1.0632762429573346,5,0,3,10,2,4,2791,1208
